YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,30.4,22.8,74,2,40
2014,1,2,29.9,20,74,2,40
2014,1,3,31,20.5,79,1,40
2014,1,4,32,22.5,76,1,40
2014,1,5,30.6,23,75,2,40
2014,1,6,29.4,22.6,79,1,40
2014,1,7,29.2,23,80,2,40
2014,1,8,30.4,22.4,71,3,40
2014,1,9,29.9,21.2,70,4,40
2014,1,10,28,21,75,2,70
2014,1,11,28.2,23.2,68,4,40
2014,1,12,27.6,22.6,74,3,40
2014,1,13,26.8,22,81,2,40
2014,1,14,29.2,21.4,78,1,40
2014,1,15,28.4,19.9,75,3,40
2014,1,16,27,19.2,68,5,40
2014,1,17,26.4,20.2,78,4,40
2014,1,18,26,19,69,3,40
2014,1,19,25.6,20.3,71,3,40
2014,1,20,27,21.9,74,3,40
2014,1,21,26.6,22.3,75,2,40
2014,1,22,27.2,23,74,3,40
2014,1,23,25.7,21,74,3,40
2014,1,24,26.6,16,73,4,40
2014,1,25,28.5,17.2,70,3,40
2014,1,26,28.5,19,69,2,40
2014,1,27,29,19.2,72,1,40
2014,1,28,28.5,19.1,72,2,40
2014,1,29,29.6,21.3,71,2,40
2014,1,30,28,20.2,76,2,40
2014,1,31,28.5,21,73,3,40
2014,2,1,28.7,18.5,83,2,40
2014,2,2,31.7,20,82,1,40
2014,2,3,30.6,20.7,79,1,180
2014,2,4,31.4,20,82,1,210
2014,2,5,31.4,24.3,83,2,40
2014,2,6,31.6,20.8,75,1,40
2014,2,7,31.8,20.5,78,1,210
2014,2,8,33,21,76,0,0
2014,2,9,31.4,21.7,74,2,40
2014,2,10,33.7,23,72,1,40
2014,2,11,28.4,21,78,3,40
2014,2,12,29.6,18.2,76,2,40
2014,2,13,30.6,18,75,1,40
2014,2,14,31.2,20.1,75,1,20
2014,2,15,30.6,22.8,72,1,40
2014,2,16,31.4,19.6,79,2,20
2014,2,17,30.9,18.7,78,2,360
2014,2,18,32.1,17.6,73,2,20
2014,2,19,30.5,19,75,1,90
2014,2,20,32,20,74,2,80
2014,2,21,28.5,22.7,73,3,40
2014,2,22,28.2,21.8,71,3,40
2014,2,23,27.5,22,75,4,40
2014,2,24,28.5,18.9,76,2,40
2014,2,25,32.2,22.7,72,3,360
2014,2,26,29.6,22.1,75,4,360
2014,2,27,31.3,22,73,2,20
2014,2,28,32,18.2,72,1,20
2014,3,1,32.8,17.7,77,1,20
2014,3,2,33,18.8,77,1,40
2014,3,3,32.7,18.3,75,1,40
2014,3,4,33,20,80,1,360
2014,3,5,33.5,20.3,74,2,40
2014,3,6,32.6,20.8,67,3,90
2014,3,7,27.6,21.5,88,2,360
2014,3,8,31.8,19.5,81,1,90
2014,3,9,32.9,20.3,73,1,100
2014,3,10,31.7,23.2,80,2,40
2014,3,11,29.3,23.2,83,2,40
2014,3,12,31.5,23.5,75,2,40
2014,3,13,32.6,24.8,76,1,40
2014,3,14,32.8,25,75,3,40
2014,3,15,32.3,23,74,2,40
2014,3,16,32.2,22.4,69,2,40
2014,3,17,31.2,23,71,2,40
