YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,30,21.2,81,2,360
2014,1,2,29.8,20.5,86,2,340
2014,1,3,29.4,20.5,80,1,180
2014,1,4,30.1,20.5,82,1,360
2014,1,5,31,21,83,1,180
2014,1,6,26,21.1,92,1,160
2014,1,7,26,20.2,89,3,180
2014,1,8,27.5,20.8,86,1,140
2014,1,9,29,19,82,1,180
2014,1,10,23.4,19,93,2,160
2014,1,11,22.5,20,87,2,180
2014,1,12,26.5,19,84,2,360
2014,1,13,24.9,19.4,79,4,360
2014,1,14,25,19.5,78,3,360
2014,1,15,27.2,19.5,77,4,360
2014,1,16,24.8,19,70,4,360
2014,1,17,26.4,18.9,72,3,360
2014,1,18,25.2,19,74,6,360
2014,1,19,22.8,18,78,4,360
2014,1,20,26,18.4,70,2,360
2014,1,21,26,19.6,73,2,360
2014,1,22,27,18.5,72,4,360
2014,1,23,25.6,17.5,74,2,360
2014,1,24,27.5,17.4,73,1,360
2014,1,25,27.5,17.6,71,3,340
2014,1,26,29,17.5,75,1,320
2014,1,27,29,18,80,2,320
2014,1,28,30,19,69,1,140
2014,1,29,25.5,18.5,46,2,340
2014,1,30,25.1,18,84,2,320
2014,1,31,29.5,18.8,72,2,320
2014,2,1,25.2,21.5,87,1,360
2014,2,2,27.5,22,94,1,140
2014,2,3,32.5,22,83,1,160
2014,2,4,31.5,21.5,86,2,160
2014,2,5,30.2,22.5,91,2,140
2014,2,6,29.2,21.5,90,1,140
2014,2,7,31,21.6,85,2,140
2014,2,8,31.5,22,89,1,140
2014,2,9,31.8,21,88,0,0
2014,2,10,32.5,20.5,85,1,160
2014,2,11,28.2,20.5,86,2,140
2014,2,12,27.5,18.1,90,3,160
2014,2,13,28,19.4,85,1,290
2014,2,14,29.1,18.4,83,1,110
2014,2,15,27,20,88,1,180
2014,2,16,22.3,18.9,93,2,360
2014,2,17,25,19.5,91,2,360
2014,2,18,28,20.5,86,1,320
2014,2,19,29,20.6,87,1,140
2014,2,20,28.5,19.3,83,3,140
2014,2,21,28.2,19,76,2,360
2014,2,22,28,19,75,2,160
2014,2,23,26,19,83,2,340
2014,2,24,30.5,20,84,1,140
2014,2,25,27.5,18.1,89,2,160
2014,2,26,25.5,19,87,3,320
2014,2,27,27.9,20.6,83,1,360
2014,2,28,29.3,20.2,83,2,320
2014,3,1,30,19.8,85,1,360
2014,3,2,30.7,20.5,83,1,140
2014,3,3,31,22,81,1,160
2014,3,4,29.8,21.6,86,2,140
2014,3,5,30.5,20.5,81,2,120
2014,3,6,31.3,21.5,78,1,160
2014,3,7,28.4,20,86,1,20
2014,3,8,29.5,21,88,0,0
2014,3,9,32,21,83,0,0
2014,3,10,26,20,89,1,40
2014,3,11,24,21,96,2,160
2014,3,12,28,21,88,2,160
2014,3,13,30.5,21.7,84,2,160
2014,3,14,31.3,21.5,87,1,180
2014,3,15,25.6,21,93,1,360
2014,3,16,27,21.5,90,0,0
2014,3,17,29,21.5,87,1,180
2014,3,18,30,22,84,2,160
2014,3,19,30.5,21.3,85,2,320
2014,3,20,31.2,22.2,84,2,340
2014,3,21,31.2,21.9,82,2,160
2014,3,22,28,21.9,85,2,360
2014,3,23,24,20.8,89,1,360
2014,3,24,25,20.5,95,1,360
2014,3,25,23.5,21,100,3,360
2014,3,26,28.5,21.5,86,2,320
2014,3,27,28.5,21.7,90,2,360
2014,3,28,29.5,22.1,93,1,140
2014,3,29,28,22,94,1,340
2014,3,30,31,21.5,89,0,0
2014,3,31,29.5,22,87,1,320
2014,4,1,30.2,23.2,85,3,140
2014,4,2,32,22.7,88,1,360
2014,4,3,31.5,23.2,88,1,140
2014,4,4,31,21,88,2,140
2014,4,5,30,22.5,82,1,350
2014,4,6,31,21,88,1,360
2014,4,7,30,21.5,86,0,0
2014,4,8,29.5,22.5,88,2,320
2014,4,9,30.8,23,85,3,140
2014,4,10,30.8,21.6,85,1,360
2014,4,11,30.9,22.2,88,2,160
2014,4,12,30.5,22.5,88,1,340
2014,4,13,31.5,23.5,87,0,0
2014,4,14,31,23.5,84,2,160
2014,4,15,32,23,84,2,160
2014,4,16,30.5,23,82,1,160
2014,4,17,31,22.1,82,2,140
2014,4,18,31.1,22.7,88,1,320
2014,4,19,30.5,22.5,89,0,0
2014,4,20,27,22,94,0,0
2014,4,21,30,22.5,87,2,320
2014,4,22,31.5,23.7,83,1,160
2014,4,23,31.5,23,86,2,140
2014,4,24,32,24.5,86,1,120
2014,4,25,28.1,23.5,95,2,340
2014,4,26,31.5,24,89,1,140
2014,4,27,31,24,91,1,140
2014,4,28,33,24,82,1,320
2014,4,29,32.5,22.5,87,2,360
2014,4,30,28.9,23.3,90,2,320
2014,5,1,31.6,22.9,89,1,340
2014,5,2,31.9,24.2,88,1,340
2014,5,3,32.5,24.5,86,1,350
2014,5,4,30.5,24,91,1,90
2014,5,5,31.8,24,88,1,140
2014,5,6,32.2,24,83,2,140
2014,5,7,32.2,24.5,80,2,140
2014,5,8,32.5,25.2,85,1,140
2014,5,9,33.5,22.5,85,1,140
2014,5,10,32,23.8,92,2,140
2014,5,11,32,24.8,83,2,140
2014,5,12,32.2,24.5,86,1,140
2014,5,13,31.5,24.5,80,1,140
2014,5,14,32,25,81,1,140
2014,5,15,33.2,23.8,86,2,160
2014,5,16,32.7,25.6,90,2,160
2014,5,17,32.6,25.4,86,1,320
2014,5,18,32,24.5,83,2,140
2014,5,19,33,25.5,84,2,140
2014,5,20,32.5,25.5,83,2,140
2014,5,21,33.5,25.5,83,1,140
2014,5,22,35,24.5,86,3,140
2014,5,23,34,25,81,1,180
2014,5,24,33.5,24.8,83,1,320
2014,5,25,32.4,24,89,1,160
2014,5,26,33,24.5,84,2,290
2014,5,27,32.9,26.1,82,2,140
2014,5,28,33.4,26,82,2,320
2014,5,29,34,24,85,1,160
2014,5,30,33.5,25.5,85,1,140
2014,5,31,35,26,83,1,140
2014,6,1,35,26.8,81,1,140
2014,6,2,34.3,26,81,1,140
2014,6,3,35,26.5,80,2,350
2014,6,4,34,26.9,77,2,160
2014,6,5,32.2,26.8,80,2,290
2014,6,6,34.5,26.5,80,3,290
2014,6,7,34.6,26,74,3,290
2014,6,8,34.8,24.5,72,3,290
2014,6,9,33.3,26,73,4,290
2014,6,10,32.5,25,77,4,290
2014,6,11,33,26,79,2,290
2014,6,12,34,24,77,0,0
2014,6,13,34,26,81,0,0
2014,6,14,34.8,25.5,75,2,160
2014,6,15,35.2,25.5,73,1,320
2014,6,16,34.5,26.5,81,2,140
2014,6,17,34.8,25.5,79,2,140
2014,6,18,34.3,26.5,77,3,270
2014,6,19,35.3,26.1,74,2,270
2014,6,20,35.2,26,71,1,160
2014,6,21,35.5,25,79,3,290
2014,6,22,35,26,79,3,290
2014,6,23,36.4,25.5,73,3,290
2014,6,24,36.6,24.5,75,3,360
2014,6,25,35.7,24.2,74,3,160
2014,6,26,32.7,23.5,85,3,270
2014,6,27,31.5,25.2,80,2,270
2014,6,28,34,26,77,2,290
2014,6,29,36,26,75,3,290
2014,6,30,35,26,76,2,290
2014,7,1,36,25.5,71,2,160
2014,7,2,34.5,23.8,78,2,270
2014,7,3,33,23.2,87,2,290
2014,7,4,30.5,24.8,82,4,290
2014,7,5,35,25.6,77,6,290
2014,7,6,35,26,84,4,290
2014,7,7,33,26,77,9,290
2014,7,8,34.2,25.6,73,3,240
2014,7,9,34.5,26.1,74,1,180
2014,7,10,33.8,26.3,81,2,270
2014,7,11,34.1,24.6,84,1,160
2014,7,12,33.5,24.5,86,1,340
2014,7,13,35.6,24,84,1,140
2014,7,14,34,25,84,2,140
2014,7,15,32,23,88,6,140
2014,7,16,29,22.9,88,4,140
2014,7,17,31.3,24,88,2,140
2014,7,18,30,24,77,6,290
2014,7,19,31.5,22.5,85,5,290
2014,7,20,32,24.5,83,4,290
2014,7,21,28.5,24.9,83,6,290
2014,7,22,30,24,83,3,270
2014,7,23,29.8,24.5,81,5,290
2014,7,24,32.3,25.2,75,6,270
2014,7,25,33.3,25.5,74,4,290
2014,7,26,33,23,80,2,290
2014,7,27,33.5,24,80,3,290
2014,7,28,32,24.5,82,3,290
2014,7,29,33.5,25.3,78,3,270
2014,7,30,33.5,24.9,76,6,270
2014,7,31,31.6,25.1,76,4,270
2014,8,1,29.7,25.4,79,4,270
2014,8,2,33.5,25,81,7,290
2014,8,3,33,25,82,7,290
2014,8,4,34.5,24,78,6,290
2014,8,5,30,24.5,78,5,290
2014,8,6,33.5,26,71,5,290
2014,8,7,35.2,25.6,69,4,290
