YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,26.8,19,75,5,70
2014,1,2,24.8,20,83,5,110
2014,1,3,27.5,20,81,2,180
2014,1,4,26.2,17,74,4,20
2014,1,5,24.8,16,63,5,40
2014,1,6,24.7,16.4,65,6,90
2014,1,7,24.3,18.3,69,5,110
2014,1,8,26,18,75,3,90
2014,1,9,24.2,16.8,72,6,40
2014,1,10,24.1,15.6,65,5,70
2014,1,11,24,16.2,64,5,90
2014,1,12,26,16.2,59,5,60
2014,1,13,23.8,17,73,6,40
2014,1,14,22.2,16.2,80,8,40
2014,1,15,20.3,14,68,7,40
2014,1,16,21.2,16.4,69,5,40
2014,1,17,22.8,16,73,5,40
2014,1,18,23.2,13.8,67,8,40
2014,1,19,20,15,67,6,40
2014,1,20,21.2,16.5,77,4,60
2014,1,21,21.2,15,82,8,20
2014,1,22,18.4,13.8,73,6,40
2014,1,23,20.4,14.5,71,5,60
2014,1,24,23,14.1,56,5,90
2014,1,25,23.9,16.8,72,4,90
2014,1,26,24.1,17.6,71,5,40
2014,1,27,22.1,16.2,78,4,40
2014,1,28,25.7,18,72,4,70
2014,1,29,24.8,18.8,77,5,90
2014,1,30,25.8,17.8,76,4,90
2014,1,31,24.6,18.5,75,4,90
2014,2,1,23.8,20,88,4,90
2014,2,2,27,23,90,2,180
2014,2,3,28.6,19.2,87,2,270
2014,2,4,22.1,18.8,83,4,60
2014,2,5,23.2,20.2,90,6,90
2014,2,6,24.8,22.7,94,4,120
2014,2,7,27,21,85,1,270
2014,2,8,27.8,21,82,3,90
2014,2,9,25,19.6,89,4,120
2014,2,10,22.3,17,83,5,20
2014,2,11,22,15.5,81,3,40
2014,2,12,24,16.8,78,3,60
2014,2,13,24.8,18.8,79,2,20
2014,2,14,23,17.2,83,3,40
2014,2,15,21.7,16.2,80,5,90
2014,2,16,23,17.2,73,6,90
2014,2,17,24.8,20.2,84,5,110
2014,2,18,24.6,20.8,88,4,140
2014,2,19,23.8,15.9,85,5,360
2014,2,20,18.6,13,77,5,40
2014,2,21,19.2,13.6,69,4,40
2014,2,22,20.8,15.2,74,5,90
2014,2,23,23.4,15.7,67,5,70
2014,2,24,22.8,18.6,78,4,90
2014,2,25,22.6,18.4,85,5,120
2014,2,26,25.3,21,90,5,140
2014,2,27,25.7,19,83,5,90
2014,2,28,24.1,11.6,79,6,110
2014,3,1,26,21,85,2,160
2014,3,2,26.3,19.2,83,3,360
2014,3,3,24,19,87,4,20
2014,3,4,25.1,19.2,85,2,90
2014,3,5,24.2,18,89,5,40
2014,3,6,23,18.8,80,5,90
2014,3,7,22.4,16.1,80,5,70
2014,3,8,25.5,20.6,84,4,160
2014,3,9,22,17.1,89,7,40
2014,3,10,22,14.6,78,7,90
2014,3,11,22.5,16,78,8,90
2014,3,12,26.2,20.4,82,6,160
2014,3,13,29,17.9,88,5,310
2014,3,14,19.8,16,81,5,40
2014,3,15,21.7,17,76,6,90
2014,3,16,23.8,17.6,79,8,110
2014,3,17,27.2,21.2,76,6,140
2014,3,18,28,21.2,78,6,170
2014,3,19,27.3,23.6,83,6,170
2014,3,20,28.7,16.3,85,5,160
2014,3,21,19.1,15.6,82,7,40
2014,3,22,21.1,17.4,76,7,40
2014,3,23,23.5,12.6,78,7,40
2014,3,24,24,18,84,9,90
2014,3,25,26.8,22.6,86,8,160
2014,3,26,27.6,24,87,7,170
2014,3,27,27,19.8,91,8,120
2014,3,28,27.6,23.8,86,8,160
2014,3,29,28.4,23.8,88,5,180
2014,3,30,29.3,22.6,85,5,20
2014,3,31,27.1,23.1,92,5,170
2014,4,1,28.2,22.8,86,4,320
2014,4,2,28,23,80,4,170
2014,4,3,29.1,24,80,5,320
2014,4,4,24.4,20.8,87,6,40
2014,4,5,24.6,20.2,81,6,70
2014,4,6,25.2,20,75,8,90
2014,4,7,25.1,20.8,80,6,90
2014,4,8,27.6,21.2,83,7,160
2014,4,9,27.5,22.6,85,5,140
2014,4,10,27.9,21.4,86,7,90
2014,4,11,26.4,14.5,78,11,110
2014,4,12,28.3,24,77,6,160
2014,4,13,28.1,23.2,82,4,160
2014,4,14,28,20.5,89,6,40
2014,4,15,25.6,20.6,82,5,90
2014,4,16,26.3,21,78,5,120
2014,4,17,27.2,23,82,5,140
2014,4,18,27.5,23,81,6,140
2014,4,19,28.4,23.5,79,6,160
2014,4,20,29,23.2,82,5,140
2014,4,21,28.4,24,85,7,120
2014,4,22,28.5,23.6,88,4,160
2014,4,23,28.9,24,85,5,110
2014,4,24,29.4,24.6,89,5,110
2014,4,25,29.6,25,91,3,110
2014,4,26,29,25.2,84,4,110
2014,4,27,28.5,24,85,3,320
2014,4,28,29,23.5,88,5,20
2014,4,29,27.1,23,80,5,60
2014,4,30,28.6,23,82,6,110
2014,5,1,30,23.9,86,5,140
2014,5,2,29.3,22.6,87,6,110
2014,5,3,27.9,24.6,88,6,140
2014,5,4,29.5,24.5,87,6,160
2014,5,5,31,24.4,81,5,20
2014,5,6,31.5,23.4,83,4,20
2014,5,7,29.5,24.6,85,2,110
2014,5,8,30,25,88,6,110
2014,5,9,30,25,91,5,110
2014,5,10,30.7,24.8,88,5,160
2014,5,11,30.8,25,86,5,180
2014,5,12,30.8,26.6,90,5,180
2014,5,13,31.9,26,87,4,180
2014,5,14,32.6,26.2,82,3,270
2014,5,15,32.2,26.2,87,4,290
2014,5,16,30.8,25.6,81,2,310
2014,5,17,31.4,26.8,87,5,170
2014,5,18,32.5,26.2,87,4,290
2014,5,19,30.8,25.8,85,3,180
2014,5,20,31.4,26.2,84,5,290
2014,5,21,31.6,25.4,85,2,270
2014,5,22,30.5,25.8,87,4,160
2014,5,23,30.1,25.2,87,3,160
2014,5,24,30.5,25.6,83,5,160
2014,5,25,30.5,26,83,4,160
2014,5,26,31.2,26.2,89,4,270
2014,5,27,30.8,26.8,84,3,290
2014,5,28,30.6,24.5,91,4,270
2014,5,29,30.4,24.6,88,4,300
2014,5,30,30.4,25.4,88,2,320
2014,5,31,30.6,25.2,86,3,340
2014,6,1,30.8,26.4,86,2,340
2014,6,2,31.1,26.8,85,4,290
2014,6,3,31,25.5,85,6,290
2014,6,4,30.2,25.3,88,4,270
2014,6,5,30.4,25.8,89,4,270
2014,6,6,31.2,26,87,5,300
2014,6,7,30.8,24.5,84,4,220
2014,6,8,28.2,25.4,82,5,250
2014,6,9,26,20.4,91,6,250
2014,6,10,27.8,24.6,90,8,220
2014,6,11,29.2,24.3,88,5,270
2014,6,12,26.6,24.4,94,4,140
2014,6,13,27.9,25.2,91,5,140
2014,6,14,29.2,25.7,85,10,200
2014,6,15,29.2,26.6,84,4,140
2014,6,16,30.7,27.1,89,4,200
2014,6,17,30.5,26.4,87,4,270
2014,6,18,31,26.4,88,3,290
2014,6,19,31.4,27.1,88,2,180
2014,6,20,31,26.6,87,4,180
2014,6,21,31,26.4,83,3,270
2014,6,22,31.3,26,82,3,200
2014,6,23,30.5,26.5,87,4,250
2014,6,24,31.5,26.2,87,4,180
2014,6,25,31.2,25.8,85,4,230
2014,6,26,31.4,27.4,88,3,180
2014,6,27,32,26.1,88,5,140
2014,6,28,30.6,26.8,86,4,270
2014,6,29,31.2,27.1,85,3,340
2014,6,30,31.8,27.1,89,3,340
2014,7,1,30.6,27,87,2,150
2014,7,2,31.6,26,87,2,300
2014,7,3,30.9,24.9,86,3,360
2014,7,4,31.4,26.4,90,6,90
2014,7,5,29.8,26.6,90,5,270
2014,7,6,31.1,26.6,84,6,300
2014,7,7,30.7,26.4,86,9,320
2014,7,8,30.7,27.4,83,8,270
2014,7,9,32,26.6,85,3,180
2014,7,10,32,27,85,3,180
2014,7,11,30.5,26.7,87,6,180
2014,7,12,30,27.4,87,6,180
2014,7,13,30.7,26.6,84,4,180
2014,7,14,30.5,26.2,84,4,140
2014,7,15,30,24.2,88,6,90
2014,7,16,28.6,21,86,9,110
2014,7,17,29.8,25.4,87,7,160
2014,7,18,30.6,26,84,3,190
2014,7,19,29.6,25.1,84,4,70
2014,7,20,30,25,82,6,40
2014,7,21,28.2,23.5,87,8,40
2014,7,22,27.9,23.4,91,12,250
2014,7,23,28.1,25.5,89,8,220
2014,7,24,29,24.9,84,4,240
2014,7,25,28.4,24.7,91,4,140
2014,7,26,29.7,26,84,5,90
2014,7,27,28,25.4,88,3,90
2014,7,28,28.8,26,89,2,90
2014,7,29,29.3,26.6,92,4,20
2014,7,30,30,26,88,8,290
2014,7,31,29,26.4,88,10,280
2014,8,1,30,26.8,88,9,240
2014,8,2,29,25.4,85,7,250
2014,8,3,30,26.4,83,6,270
2014,8,4,30,26.7,88,2,90
2014,8,5,29,25.8,92,6,300
2014,8,6,28.5,24.5,89,8,280
2014,8,7,27.8,23,89,9,270
2014,8,8,28.8,25.4,88,9,270
2014,8,9,28.4,22.6,90,8,270
2014,8,10,28.4,24.6,91,7,290
2014,8,11,29,25.4,91,10,290
2014,8,12,26.6,22.8,90,7,270
2014,8,13,29.5,26.4,88,6,240
2014,8,14,30,26.8,84,7,290
2014,8,15,29.5,27,92,7,290
2014,8,16,29,25.2,89,5,90
2014,8,17,28.4,25.7,87,7,180
2014,8,18,28.5,25,93,5,180
2014,8,19,29.5,26,83,5,180
2014,8,20,29,25.8,87,2,160
2014,8,21,29.5,26.1,87,2,160
2014,8,22,29.5,26.6,82,4,90
2014,8,23,29.6,26.1,84,6,110
2014,8,24,29,26.2,84,5,110
2014,8,25,29,22.6,84,5,110
2014,8,26,28.5,25,92,6,110
2014,8,27,29.2,25.5,87,5,110
2014,8,28,29.5,25.9,83,5,90
2014,8,29,29.5,26,84,5,110
2014,8,30,29.4,26.8,85,5,140
2014,8,31,30.4,26.5,83,3,160
2014,9,1,30,26.4,88,4,110
