YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI
2019,1,1,26.1,22.2,89,3,90,38.5
2019,1,2,30.1,22.4,77,4,90,37.7
2019,1,3,31.5,22.5,82,2,90,35.3
2019,1,4,29.5,22.8,72,4,90,38.8
2019,1,5,31.1,22.9,74,4,70,35.9
2019,1,6,30.8,21.1,73,4,90,37.7
2019,1,7,30,21.5,73,2,90,36.5
2019,1,8,30.3,22.5,72,3,40,37.1
2019,1,9,30.6,22.2,76,2,90,34.7
2019,1,10,30.3,22.6,75,3,90,33.1
2019,1,11,30.5,22.2,72,3,90,32.2
2019,1,12,31,22,73,3,90,33.3
2019,1,13,31,22.8,70,4,70,30.2
2019,1,14,29.5,21.1,71,4,70,35.8
2019,1,15,30.2,19.4,67,5,90,37.4
2019,1,16,30,18.2,71,4,70,30
2019,1,17,31,21,75,3,90,32.1
2019,1,18,29.2,21.3,80,3,90,28.7
2019,1,19,29.8,21,74,4,70,27.4
2019,1,20,31.5,21,74,4,70,30.9
2019,1,21,32,21.9,63,3,70,30.4
2019,1,22,32.1,22.8,69,4,70,34.5
2019,1,23,31,21.5,70,3,90,28.3
2019,1,24,31.5,22,72,3,70,32
2019,1,25,30.2,21.8,68,3,90,29.3
2019,1,26,29.5,20.1,75,3,90,34.1
2019,1,27,27.2,20,75,3,90,34.7
2019,1,28,29,18.8,73,4,70,31.2
2019,1,29,29,19.4,63,4,90,37
2019,1,30,29.9,21.2,58,4,70,31.2
2019,1,31,29.5,20,75,2,70,36.9
2019,2,1,30,20.5,72,4,70,34.8
2019,2,2,29.7,21.2,77,3,90,40
2019,2,3,30.2,22.2,77,3,110,37.6
2019,2,4,30.5,21.2,75,3,110,42.7
2019,2,5,31.2,20.6,76,3,140,40.3
2019,2,6,30.4,20.3,78,4,140,40.9
2019,2,7,30.8,19.7,72,3,70,38.2
2019,2,8,31.5,19,74,3,90,45.8
2019,2,9,31.5,21.5,79,3,40,41.2
2019,2,10,30.3,22,75,3,90,43.1
2019,2,11,30.2,21.7,79,2,90,37.8
2019,2,12,30.4,22,73,3,90,34.3
2019,2,13,27.7,17.8,78,3,70,37.6
2019,2,14,30,19.5,68,5,70,35.5
2019,2,15,30,20.9,65,3,90,36.3
2019,2,16,31.5,20,71,3,90,37.7
2019,2,17,30.5,20.5,76,3,90,30.4
2019,2,18,31,20.2,78,2,90,38.6
2019,2,19,30.7,20.3,74,2,90,37.4
2019,2,20,30,19.4,71,3,90,37.1
2019,2,21,31.2,19,71,3,90,37.4
2019,2,22,31.8,21.5,73,3,90,33.8
2019,2,23,30,20.6,68,4,90,32.2
2019,2,24,32.8,19.5,72,2,90,33.6
2019,2,25,32,21,76,2,90,40.3
2019,2,26,30.5,21,79,2,90,36.3
2019,2,27,30.3,21.4,77,1,90,34.1
2019,2,28,32,21,75,2,90,36.8
2019,3,1,31.5,21,75,3,90,38.3
2019,3,2,31.1,18.5,65,4,160,41.9
2019,3,3,32,21.5,73,3,20,42.6
2019,3,4,32,22,77,3,90,38.8
2019,3,5,31,20.5,77,3,90,42.4
2019,3,6,32.2,22.4,76,2,160,42
2019,3,7,32.2,20.5,79,2,90,33.6
2019,3,8,31.6,21.5,77,3,110,39.8
2019,3,9,32,20.4,67,3,140,43.6
2019,3,10,31.4,21,76,2,160,36.7
2019,3,11,32.7,21.4,78,2,180,32.7
2019,3,12,32.5,23,81,2,180,39.2
2019,3,13,30,22.5,80,3,140,46.5
2019,3,14,31.8,23.4,77,2,180,39.9
2019,3,15,32.4,22.8,79,1,170,39.9
2019,3,16,30.8,22.4,75,3,70,40.3
2019,3,17,31.6,22.9,72,4,70,37
2019,3,18,32.1,22,75,3,70,42.3
2019,3,19,32.2,22.5,71,3,110,39.3
2019,3,20,32.5,22,70,2,90,45.6
2019,3,21,33,21,75,2,140,41.9
2019,3,22,32.7,22.4,75,2,90,34.3
2019,3,23,32.8,22.8,71,2,90,41.2
2019,3,24,30.7,21.8,69,4,110,32.9
2019,3,25,32,21.4,70,3,70,42
2019,3,26,31.7,20.5,66,4,90,40.5
2019,3,27,31.5,23.5,69,3,110,45.6
2019,3,28,33.5,23.5,74,2,140,43.5
2019,3,29,33.5,23.5,78,2,90,44.9
2019,3,30,33.4,23.4,79,2,90,50.8
2019,3,31,33,20.5,77,2,90,41.2
2019,4,1,33,22.5,73,3,70,43.6
2019,4,2,33,23.5,72,4,70,46.7
2019,4,3,33,22.9,75,3,70,49.5
2019,4,4,33,23.1,73,3,70,43.1
2019,4,5,33.5,23.8,74,2,180,44.6
2019,4,6,34.3,23.6,76,2,90,47.2
2019,4,7,34.3,24,75,1,90,47.1
2019,4,8,34.3,23.1,74,2,90,43
2019,4,9,34.3,24.7,71,3,70,43.5
2019,4,10,35,23.6,73,3,90,46.1
2019,4,11,34.5,24.7,75,3,140,46.5
2019,4,12,33,24.6,87,2,90,43.8
2019,4,13,34.5,25,77,3,90,43.3
2019,4,14,34.5,25,72,2,90,41
2019,4,15,31.6,24.5,89,1,80,47.8
2019,4,16,34.9,24.3,79,1,170,41.7
2019,4,17,35.7,24.8,76,1,180,44.6
2019,4,18,35.2,25.7,78,1,90,52.1
2019,4,19,35.1,24.5,75,2,140,54.3
2019,4,20,35.4,22.9,72,3,110,45.2
2019,4,21,36.2,22.9,64,2,90,45.7
2019,4,22,34.3,24.7,70,3,90,54.2
2019,4,23,34.3,23.5,75,2,110,52.3
2019,4,24,35.2,25.4,73,2,170,49.6
2019,4,25,36.5,23.5,65,3,90,43.2
2019,4,26,35.5,24.3,64,3,90,49.8
2019,4,27,36,23.2,64,5,70,53.6
2019,4,28,36.1,23.6,63,4,90,45.2
2019,4,29,36.5,23.5,64,2,140,46.3
2019,4,30,36.5,25,66,1,180,51.7
2019,5,1,36.2,25.2,69,1,270,50
2019,5,2,35.9,23.8,75,2,90,51.5
2019,5,3,36.4,23.5,72,2,40,46.5
2019,5,4,35.4,24,76,1,200,46.3
2019,5,5,35.6,24.1,77,2,180,52.5
2019,5,6,33,24,86,2,180,48.3
2019,5,7,33.5,24,83,1,220,54.2
2019,5,8,34.5,23.5,86,1,180,53.2
2019,5,9,34.7,24,82,1,180,57.1
2019,5,10,34.3,23.6,84,1,180,46
2019,5,11,33.4,23.8,86,1,180,48.6
2019,5,12,35,25,83,1,180,56
2019,5,13,35.6,24.1,81,2,180,55
2019,5,14,35.6,25.5,74,2,40,49.6
2019,5,15,36.8,25,75,1,70,56.8
2019,5,16,36.5,26.5,72,1,180,55.4
2019,5,17,36.7,24.6,67,1,320,54
2019,5,18,36.5,24.4,73,1,200,49.2
2019,5,19,37,26,73,1,180,51.3
2019,5,20,37,25,79,1,220,55.6
2019,5,21,36.2,24.1,81,1,180,55.9
2019,5,22,34.9,24.8,81,1,90,48.1
2019,5,23,36,24.5,76,1,40,49.7
2019,5,24,35.5,24.5,72,2,40,54
2019,5,25,35.2,23.8,80,2,140,45.2
2019,5,26,33.8,23.5,85,1,90,55.2
2019,5,27,34,23,83,1,160,55.5
2019,5,28,35,23.8,80,2,140,50.1
2019,5,29,34,24.1,88,2,160,50.4
2019,5,30,34.1,25,79,3,90,48.5
2019,5,31,35.4,25,74,2,90,52.3
2019,6,1,35.5,24.2,74,2,70,55.3
2019,6,2,35.3,24.7,78,1,110,50.2
2019,6,3,36,25.7,77,1,90,54.2
2019,6,4,35.5,25.5,71,1,90,54
2019,6,5,36,25.5,72,2,90,49.9
2019,6,6,35.6,26,69,4,70,50.6
2019,6,7,35.5,25,69,3,70,45.5
2019,6,8,36,24.8,74,2,110,47.1
2019,6,9,37,26,73,2,40,40.8
2019,6,10,35.3,25.1,85,1,90,42.4
2019,6,11,34.3,25,94,1,90,37.5
2019,6,12,34,24,83,2,20,46.1
2019,6,13,32.5,24.4,89,2,180,39.9
2019,6,14,33.7,25,91,2,110,49.4
2019,6,15,31.6,24.3,87,1,270,44.4
2019,6,16,33.7,25.8,79,2,70,56.1
2019,6,17,35.5,25.4,75,3,90,52.1
2019,6,18,35.2,25.3,79,2,90,49.1
2019,6,19,33.8,25.8,78,2,90,43.6
2019,6,20,36.2,26,73,1,90,45.7
2019,6,21,36.5,25.5,75,1,180,42.5
2019,6,22,35.8,25.6,79,1,160,42.5
2019,6,23,36,25.5,79,2,290,45.3
2019,6,24,35,23.5,81,1,140,48.7
2019,6,25,33.5,24.5,84,1,320,48.7
2019,6,26,33.5,24.6,87,1,20,49.1
2019,6,27,31,24.8,94,1,120,38.3
2019,6,28,32,24.2,91,2,180,44.4
2019,6,29,31,24.8,92,2,180,48.1
2019,6,30,32.6,25.2,89,3,160,51.4
2019,7,1,29,24,93,4,160,46.4
2019,7,2,31.3,24.4,82,3,180,51.3
2019,7,3,34.4,24.4,75,3,160,50.3
2019,7,4,34.4,25.3,79,1,180,38.6
2019,7,5,34.3,24.7,85,1,180,42.9
2019,7,6,33.7,25,80,1,180,44.1
2019,7,7,34.5,24.8,82,1,240,42.3
2019,7,8,34.4,24.6,80,1,90,47.1
2019,7,9,33.5,23.9,81,2,40,41.6
2019,7,10,33.3,24.4,89,1,340,48.3
2019,7,11,35.2,24.8,79,2,270,49.9
2019,7,12,34.1,24.9,83,1,180,50.4
2019,7,13,33.6,25.7,81,1,270,46.4
2019,7,14,34.5,24,82,1,340,49.4
2019,7,15,31,24.8,87,2,180,44.6
2019,7,16,28.2,23,94,2,270,32.9
2019,7,17,29.1,23.5,91,2,180,32.2
2019,7,18,31.8,24.6,87,3,180,44.4
2019,7,19,32.8,24.8,89,2,180,37.6
2019,7,20,32.4,25,88,1,180,44.2
2019,7,21,32,24.2,88,1,180,40.8
2019,7,22,33.7,24.5,88,1,340,29
2019,7,23,32,25,89,1,140,34.4
2019,7,24,33.1,24.8,81,1,270,40.2
2019,7,25,34,23.9,83,2,180,39.2
2019,7,26,32,24.5,90,1,320,47.7
2019,7,27,33.3,23.5,86,1,360,43.1
2019,7,28,31,23.9,86,2,180,42.7
2019,7,29,29.7,23.5,94,2,90,38.9
2019,7,30,29.5,23,82,2,90,39.2
2019,7,31,31,23,88,3,90,41.8
2019,8,1,29.6,23.6,93,1,40,35.5
2019,8,2,29.4,24,95,1,180,38.9
2019,8,3,29.6,23.5,93,2,180,40.6
2019,8,4,31,24.5,92,2,90,37.3
2019,8,5,32,24.1,90,1,90,35.6
2019,8,6,31.4,24.4,93,1,90,40.2
2019,8,7,30.3,24.6,93,2,160,43.3
2019,8,8,30.4,23.8,95,3,180,47.4
2019,8,9,29.5,25,93,2,180,51.6
2019,8,10,30.6,25,95,2,180,50.3
2019,8,11,32.5,25,93,1,250,45.4
2019,8,12,32.3,25,91,1,270,47.1
2019,8,13,31,24.9,95,1,180,47.8
2019,8,14,32,23,90,1,270,49.6
2019,8,15,32,24.8,92,2,180,50.8
2019,8,16,33.2,25,90,2,180,42.4
2019,8,17,33.6,24.2,90,1,180,31.6
2019,8,18,33.6,24.1,86,2,270,38.6
2019,8,19,33,24.5,85,1,180,43.5
2019,8,20,33,24.2,86,1,140,48.3
2019,8,21,33.2,23.7,92,1,180,44.4
2019,8,22,32.3,23.9,82,1,270,37.6
2019,8,23,31,23.5,91,1,270,46.3
2019,8,24,30,23.5,95,1,180,51.9
2019,8,25,32.2,22.7,87,2,180,44.1
2019,8,26,33,23.6,87,1,270,30.7
2019,8,27,29,23.5,96,1,180,43.9
2019,8,28,30.5,23.5,87,2,90,38
2019,8,29,30,23.4,91,26,90,31
2019,8,30,31.7,23.6,89,1,270,39.8
2019,8,31,29.7,23,92,2,270,47.4
2019,9,1,31.7,23.6,86,2,180,45
2019,9,2,30.7,23.2,89,2,160,39.5
2019,9,3,28.3,24,93,2,70,40.8
2019,9,4,33.5,24,85,1,180,43.8
2019,9,5,32.5,23.5,88,1,180,43.1
2019,9,6,33,25,92,1,180,47.1
2019,9,7,29.7,25.1,93,1,180,42.6
2019,9,8,31.2,23.2,94,1,180,47.7
2019,9,9,27.4,22.5,95,1,180,40.6
2019,9,10,29,22.2,88,1,270,38.9
2019,9,11,32.8,23.6,86,1,270,41.3
2019,9,12,27,22.5,96,1,160,44.4
2019,9,13,33,24.5,88,1,140,42.6
2019,9,14,32.2,23.7,88,1,180,27.5
2019,9,15,30.5,24.2,91,1,180,33.4
2019,9,16,31.7,24.4,91,1,180,44.1
2019,9,17,30.3,23,94,4,70,48.2
2019,9,18,26.4,23.4,97,2,180,47.1
2019,9,19,29.2,23.4,93,1,180,29
2019,9,20,29.5,23.5,94,1,180,34.4
2019,9,21,30.5,21.5,90,1,270,38.8
2019,9,22,31.6,23.6,89,1,160,45.6
2019,9,23,33.4,24.6,85,1,160,41.8
2019,9,24,33.8,24.5,82,2,70,42.2
2019,9,25,33,23.5,85,2,40,37.4
2019,9,26,33.5,24.4,79,1,90,43.8
2019,9,27,33.7,24.4,83,2,160,36.9
2019,9,28,34.1,25.1,81,1,320,39.9
2019,9,29,33.1,24.5,86,1,180,38.5
2019,9,30,32.2,23.2,92,10,180,39
2019,10,1,33,23.7,86,1,90,40.6
2019,10,2,33.5,20.5,86,1,180,41.6
2019,10,3,32.8,21.8,83,2,90,39.3
