YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI
2014,1,1,30.1,21,86,2,290,36.6
2014,1,2,30.3,21.9,80,2,320,37.4
2014,1,3,31,20.5,81,3,290,35.3
2014,1,4,31.5,21.2,85,3,40,38
2014,1,5,31,22.4,87,2,320,38.9
2014,1,6,30.6,22.4,83,3,290,34.8
2014,1,7,31.2,23,79,2,90,35.8
2014,1,8,32,21.1,83,2,70,41.2
2014,1,9,30.8,22.7,82,3,290,36.6
2014,1,10,31,23,81,3,90,37.4
2014,1,11,31.4,22.8,78,3,90,37.7
2014,1,12,31.3,22.5,77,4,90,33.3
2014,1,13,32,23,75,8,110,36.6
2014,1,14,30.6,21.4,75,3,290,32.1
2014,1,15,31,22.6,79,4,90,35.8
2014,1,16,30.8,21.6,82,4,90,37.4
2014,1,17,29.4,22.4,79,3,90,33.7
2014,1,18,30.2,21.5,73,3,110,34.1
2014,1,19,30.1,21.7,73,4,90,34.8
2014,1,20,29.5,22.8,75,4,90,32.8
2014,1,21,30,21.2,76,2,70,31.3
2014,1,22,30.2,21.8,77,2,290,31.3
2014,1,23,30.8,21.5,75,3,90,36.3
2014,1,24,32.2,21,70,4,90,35.4
2014,1,25,30,20,79,4,90,34.5
2014,1,26,29,19,78,3,320,33.4
2014,1,27,29.7,21.7,79,3,90,36
2014,1,28,30.5,21,74,3,110,33.5
2014,1,29,29.6,22,76,2,320,32.3
2014,1,30,29.2,21.4,74,3,290,32.9
2014,1,31,33.2,21,77,3,110,42.6
2014,2,1,31.5,23,84,2,320,41.2
2014,2,2,31.2,23.3,83,4,180,40.1
2014,2,3,29.6,21.4,85,1,220,34.1
2014,2,4,29.3,21.6,88,2,290,35.3
2014,2,5,30,22.6,86,2,270,36.3
2014,2,6,31,22.5,83,2,320,37.7
2014,2,7,30.8,22.6,82,2,290,37.4
2014,2,8,31.2,22.6,83,2,290,36
2014,2,9,31.5,22.6,81,2,270,39.8
2014,2,10,31,21.7,83,2,320,37.4
2014,2,11,30.5,20.3,83,2,360,34.4
2014,2,12,29.8,21.7,83,3,290,35.5
2014,2,13,30,19.6,82,2,140,35.2
2014,2,14,29.9,19.2,87,2,290,34.4
2014,2,15,30,20.4,81,3,90,32.2
2014,2,16,30,22,80,2,290,32.3
2014,2,17,31,23.3,80,2,90,38.3
2014,2,18,30.3,20.6,83,2,270,34.7
2014,2,19,31.2,21.7,79,2,290,37.6
2014,2,20,29.5,22,86,4,110,34.5
2014,2,21,31.3,21.9,84,3,110,33.1
2014,2,22,31.4,22.2,77,2,110,33.7
2014,2,23,31,22,77,3,110,33.9
2014,2,24,31,23,78,3,320,34.5
2014,2,25,31,23.6,81,2,90,37.7
2014,2,26,29.9,21.3,82,1,140,31.7
2014,2,27,31,23.4,74,2,320,34.3
2014,2,28,30.5,21.5,79,2,40,36.6
2014,3,1,30.2,21.2,80,3,290,36
2014,3,2,30.8,21.4,81,2,290,35.7
2014,3,3,30.6,21.6,79,2,220,33.6
2014,3,4,30.9,21.4,79,2,250,35.5
2014,3,5,31.2,23.2,80,2,320,37.6
2014,3,6,31.4,22.6,81,2,360,36.3
2014,3,7,31.6,21.4,88,2,290,35.7
2014,3,8,30.5,21.8,84,2,290,37.4
2014,3,9,31.4,22.2,80,2,290,34.8
2014,3,10,31,23,75,2,290,34.3
2014,3,11,31.2,23.2,72,2,110,35.8
2014,3,12,32.6,22.6,79,2,290,39.4
2014,3,13,32,24,82,3,270,41.6
2014,3,14,32.6,22,78,2,320,41.9
2014,3,15,32,23.5,85,2,290,40
2014,3,16,31.8,22.7,81,3,290,40.6
2014,3,17,33,23.4,71,2,320,38.3
2014,3,18,31.8,23.6,73,2,290,34.5
2014,3,19,33.5,23,85,2,320,43.9
2014,3,20,31,23.6,80,2,320,37.4
2014,3,21,32,24,81,2,290,39.8
2014,3,22,32.1,24.6,76,3,290,38.7
2014,3,23,32.4,24.6,74,2,320,39
2014,3,24,30.8,25.5,82,2,270,38.3
2014,3,25,32,24.6,82,2,270,40.9
