YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,29.3,23.5,83,2,350
2014,1,2,30,21,81,2,320
2014,1,3,29.3,20.4,87,1,340
2014,1,4,29.5,22,87,2,340
2014,1,5,29,23,88,3,40
2014,1,6,27.7,23.5,92,2,320
2014,1,7,27.8,24,85,2,40
2014,1,8,29.8,24.6,76,2,60
2014,1,9,29.7,23.5,77,3,60
2014,1,10,27.5,23,80,4,60
2014,1,11,27.2,23.5,82,4,60
2014,1,12,25.5,22.4,89,2,40
2014,1,13,25.5,21.5,88,3,40
2014,1,14,28.2,23,78,3,360
2014,1,15,26.2,21.5,86,3,60
2014,1,16,26,20.5,80,4,60
2014,1,17,24.7,20.2,92,3,340
2014,1,18,27,21,80,3,40
2014,1,19,24.7,20.5,86,4,60
2014,1,20,24.4,20.5,90,3,360
2014,1,21,26.3,21.4,87,3,40
2014,1,22,25.5,19.8,94,3,40
2014,1,23,25,19.5,84,3,60
2014,1,24,24.9,21,86,4,60
2014,1,25,27,21,81,3,60
2014,1,26,27.5,21.4,84,3,360
2014,1,27,27.4,21.7,78,3,360
2014,1,28,26.2,21.6,80,3,360
2014,1,29,26.2,21.5,88,3,320
2014,1,30,26.2,21,85,3,30
2014,1,31,27.1,21.5,79,4,60
2014,2,1,26.5,20.5,96,2,20
2014,2,2,30.5,22.2,91,1,90
2014,2,3,29.8,21,86,1,90
2014,2,4,29.2,23,88,1,340
2014,2,5,27.8,23.5,88,1,340
2014,2,6,29.2,21,91,2,330
2014,2,7,29.5,23.5,88,1,330
2014,2,8,29.5,24.5,86,1,360
2014,2,9,29.8,21.6,88,3,340
2014,2,10,29.2,23.5,87,2,40
2014,2,11,26.5,23.5,86,3,40
2014,2,12,26.5,20.6,89,2,90
2014,2,13,27.8,18,84,2,60
2014,2,14,28.3,21.5,81,3,330
2014,2,15,27,22,82,2,340
2014,2,16,27,22.5,91,3,320
2014,2,17,27.8,21,84,1,70
2014,2,18,28.5,19.5,88,1,360
2014,2,19,28,19.4,89,1,300
2014,2,20,28.5,22.5,83,3,90
2014,2,21,26.2,22,88,4,60
2014,2,22,25.5,21,81,3,30
2014,2,23,24.8,21,92,3,30
2014,2,24,26.4,22.2,88,2,320
2014,2,25,26.8,21.1,93,3,340
2014,2,26,27,21.6,86,2,350
2014,2,27,28.1,22.6,87,2,320
2014,2,28,27.8,20.8,87,1,320
2014,3,1,27.9,19,87,2,340
2014,3,2,28.8,20.2,84,2,340
2014,3,3,29.3,23.5,88,2,340
2014,3,4,29.2,22.4,87,2,340
2014,3,5,28.8,24,84,2,340
2014,3,6,28.7,22.4,92,3,40
2014,3,7,26.6,22.2,92,2,40
2014,3,8,28.5,19.7,84,1,40
2014,3,9,29,22.4,89,2,340
2014,3,10,28,23.3,89,4,40
2014,3,11,26.1,23,92,3,40
2014,3,12,29.5,22.5,82,2,40
2014,3,13,28.5,23.8,87,1,340
2014,3,14,29.5,23.9,87,3,340
2014,3,15,28.6,24.5,88,3,40
2014,3,16,29.5,24.3,84,3,40
2014,3,17,30.3,24.2,82,2,40
2014,3,18,30.2,25,83,2,40
2014,3,19,29.5,21,84,2,90
2014,3,20,30.5,23.3,85,3,340
2014,3,21,29.4,23.5,91,4,90
2014,3,22,28.6,24.4,85,4,40
2014,3,23,28.5,24.9,86,4,40
2014,3,24,26.3,22.6,94,3,90
2014,3,25,27.6,23.8,96,3,40
2014,3,26,30,24,91,2,320
2014,3,27,28.7,23,95,2,320
2014,3,28,29.8,23.9,88,2,340
2014,3,29,30.5,24,88,2,40
2014,3,30,31,24.5,86,2,360
2014,3,31,31,21,87,1,340
2014,4,1,31,24,86,2,90
2014,4,2,31.5,25.5,86,1,90
2014,4,3,31.4,23.4,86,2,90
2014,4,4,31.6,25.5,82,3,60
2014,4,5,30.9,25.4,82,2,60
2014,4,6,30.6,24.9,84,3,60
2014,4,7,30.6,23.8,86,3,320
2014,4,8,29.5,22,92,2,320
2014,4,9,30.5,25,83,1,340
2014,4,10,30.3,25,83,2,340
2014,4,11,30.5,23.5,91,3,320
2014,4,12,30.6,23.5,89,2,320
2014,4,13,30.6,25,85,3,320
2014,4,14,30.5,25.8,82,3,60
2014,4,15,30.6,26,80,4,60
2014,4,16,30.5,25,89,4,60
2014,4,17,30.6,23.8,83,3,340
2014,4,18,31,25,80,4,340
2014,4,19,31,24.9,82,2,340
