YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,29.4,19,80,2,90
2014,1,2,29,17.8,83,2,290
2014,1,3,28.6,20,81,2,90
2014,1,4,28.6,18.8,79,2,320
2014,1,5,29.8,17.8,78,2,360
2014,1,6,30.6,18.9,75,2,360
2014,1,7,30,18.2,78,2,90
2014,1,8,29.2,17.9,78,2,340
2014,1,9,30.5,20,72,5,40
2014,1,10,30,16.8,69,3,90
2014,1,11,30,17.6,64,3,90
2014,1,12,29.2,20,62,3,40
2014,1,13,28.8,17.3,62,3,40
2014,1,14,29,21.6,70,5,360
2014,1,15,26.5,15.4,73,5,20
2014,1,16,27.5,14.9,66,3,40
2014,1,17,28.8,18.4,68,3,40
2014,1,18,28.1,18.8,59,4,40
2014,1,19,26.8,13.3,64,3,40
2014,1,20,28,18,66,3,360
2014,1,21,27.8,19.8,64,5,360
2014,1,22,24.8,19,73,5,360
2014,1,23,28.2,14,66,2,40
2014,1,24,29.4,15.7,68,3,90
2014,1,25,27.5,16.6,75,2,90
2014,1,26,28.1,18.5,71,3,360
2014,1,27,28.6,20.2,62,3,40
2014,1,28,29,15.8,67,3,40
2014,1,29,28.2,18.6,75,2,340
2014,1,30,30,15.2,68,3,340
2014,1,31,30,17.3,68,3,90
2014,2,1,32,19.8,78,2,320
2014,2,2,30.2,24.2,83,3,270
2014,2,3,28.8,23,88,1,220
2014,2,4,30,20.8,82,2,360
2014,2,5,29.2,21,84,2,90
2014,2,6,30,20,84,3,340
2014,2,7,29.6,19.8,83,3,360
2014,2,8,28.4,20,85,3,320
2014,2,9,30.5,21.5,81,2,270
2014,2,10,29.2,20.8,77,4,360
2014,2,11,27.7,17.4,78,4,360
2014,2,12,28.5,17,74,3,360
2014,2,13,28.5,17.5,77,3,360
2014,2,14,28,17,78,4,360
2014,2,15,28.6,18.2,76,2,320
2014,2,16,29.6,18.4,73,3,360
2014,2,17,28.2,18.3,79,2,290
2014,2,18,29,18.1,80,3,90
2014,2,19,28.6,20.8,78,5,360
2014,2,20,27.2,20.7,73,6,360
2014,2,21,26.8,17.2,66,3,40
2014,2,22,29.2,17.2,69,2,320
2014,2,23,30.8,16.9,64,3,360
2014,2,24,30.1,18,68,3,360
2014,2,25,29,18.9,75,3,320
2014,2,26,28.4,21,83,2,270
2014,2,27,29.7,20.8,80,3,90
2014,2,28,30,20.5,78,3,320
2014,3,1,30.2,19,81,2,270
2014,3,2,28.9,18.4,79,4,360
2014,3,3,31.1,19.3,76,2,360
2014,3,4,29.1,19.6,76,3,270
2014,3,5,30,18.6,73,4,360
2014,3,6,30.5,18.8,77,3,360
2014,3,7,30.6,19.2,72,2,360
2014,3,8,30,20.4,78,2,220
2014,3,9,28.8,23.2,76,5,360
2014,3,10,32.9,20.3,69,2,40
2014,3,11,33.4,20.8,69,3,360
2014,3,12,31.3,22.6,79,3,360
2014,3,13,30,24,74,5,360
2014,3,14,31.8,21.8,72,4,360
2014,3,15,32.2,21,70,2,320
2014,3,16,30.2,21,76,2,290
2014,3,17,30,20.8,77,3,320
2014,3,18,30.7,20.7,76,3,320
2014,3,19,29.6,21.8,81,3,270
2014,3,20,29.3,23,80,4,340
2014,3,21,32.2,21.8,66,5,40
2014,3,22,33.2,20.3,59,3,40
2014,3,23,34.2,21,63,3,90
2014,3,24,33.2,24.9,67,3,360
2014,3,25,31.8,24,81,2,270
2014,3,26,31.2,24.2,78,3,320
2014,3,27,31.3,24,78,3,340
2014,3,28,31.4,24,78,3,360
2014,3,29,32,23.6,78,3,270
2014,3,30,33.5,25,73,3,360
2014,3,31,31.5,23.1,80,3,220
