YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI
2014,1,1,32,20,78,1,340,34.9
2014,1,2,31.6,19.5,73,1,40,34.2
2014,1,3,31.7,20,78,1,180,34.6
2014,1,4,31.6,21,75,1,340,35.1
2014,1,5,29.7,21.7,83,1,360,33
2014,1,6,28.6,21.3,80,1,340,30.2
2014,1,7,29.2,20.3,83,1,40,32
2014,1,8,31.9,19.9,77,1,40,33.8
2014,1,9,31.1,20.5,75,1,40,32.4
2014,1,10,28.5,20.5,76,1,40,29
2014,1,11,29.3,19.2,79,1,360,30
2014,1,12,29.5,22,73,1,340,31.9
2014,1,13,29.8,22.3,71,2,40,31.1
2014,1,14,31.2,20.5,67,1,40,31.5
2014,1,15,30.1,19.7,68,2,40,30.9
2014,1,16,29.5,21.5,66,1,360,29.6
2014,1,17,29.2,17.5,72,2,340,29.9
2014,1,18,28.3,20,67,2,340,28.1
2014,1,19,27.7,18.4,74,2,360,28
2014,1,20,27.4,20.7,76,1,360,27.4
2014,1,21,28,21.2,73,1,360,28.8
2014,1,22,27.8,19.7,73,1,340,29.1
2014,1,23,27.6,19.7,70,1,320,28.2
2014,1,24,28.4,16.9,72,2,360,27.8
2014,1,25,28.5,15.8,68,1,140,28.3
2014,1,26,28.8,18.1,75,1,200,30
2014,1,27,29.6,17.8,76,1,360,29.8
2014,1,28,30.5,19.3,74,1,40,32.4
2014,1,29,29.7,21,83,1,40,30.1
2014,1,30,27.5,18.7,72,1,90,27.7
2014,1,31,28.8,19.4,71,2,360,29.1
2014,2,1,31.7,24.2,74,2,360,34.4
2014,2,2,32.9,21.8,79,2,110,37.1
2014,2,3,31.5,22,76,1,360,34.8
2014,2,4,32.5,20.5,77,1,140,37
2014,2,5,31.5,21.5,79,1,270,36
2014,2,6,32.9,21.5,77,1,320,35
2014,2,7,32.5,21.7,71,2,140,37.1
2014,2,8,32.5,22.3,72,1,220,36.5
2014,2,9,32.2,22,74,1,160,34.5
2014,2,10,32.5,24,72,1,20,37.4
2014,2,11,29.5,20.3,79,1,360,32.1
2014,2,12,29,18.9,77,1,140,31.1
2014,2,13,30,19,77,1,180,31.1
2014,2,14,31.1,20.5,68,1,180,31.7
2014,2,15,29.6,19.7,73,1,140,30.8
2014,2,16,30,20.3,75,1,180,31.7
2014,2,17,31,22.2,72,1,360,31.2
2014,2,18,30.5,19.2,72,1,270,32.2
2014,2,19,28.8,19.7,77,1,200,31.3
2014,2,20,31,19.5,72,1,40,32.3
2014,2,21,30.4,20.8,67,2,40,30.5
2014,2,22,29.5,19.8,66,1,360,30.1
2014,2,23,28.5,19.5,74,1,340,28.8
2014,2,24,30.2,19,67,1,20,30.7
2014,2,25,30.5,21.5,75,1,220,31.8
2014,2,26,27.8,19.2,80,1,160,29.9
2014,2,27,30.4,19.9,79,1,140,32.1
2014,2,28,30.5,19.5,71,1,320,32.2
2014,3,1,32.3,20.1,70,1,140,34.8
2014,3,2,31.9,20.7,68,1,270,33.6
2014,3,3,32,21,65,1,220,34
2014,3,4,31.5,22.2,70,1,140,33.9
2014,3,5,30.5,20.6,77,1,40,33.4
2014,3,6,31.8,22.5,68,1,320,34
2014,3,7,29,20.4,80,1,140,30.9
2014,3,8,30.7,20,72,1,340,33.6
2014,3,9,31.3,21.8,76,1,250,33.9
2014,3,10,31.1,23.5,72,1,360,33.7
2014,3,11,30.5,22,76,1,40,34.3
2014,3,12,33.4,20.1,69,1,70,37.6
2014,3,13,33.6,21.6,72,1,140,37.7
2014,3,14,33.2,23.7,66,1,180,37.1
2014,3,15,32.7,22,69,1,40,35.7
2014,3,16,32.9,24,71,1,140,34.8
2014,3,17,32.9,21.3,63,1,140,34.2
2014,3,18,33.7,20.7,65,2,140,34
2014,3,19,33.8,20.3,64,1,70,36.6
2014,3,20,33.5,21.1,65,1,320,35.4
2014,3,21,33,24.2,72,2,360,35.9
2014,3,22,32.4,22,70,1,360,35.7
2014,3,23,32,25,63,2,40,34.2
2014,3,24,29.5,22.9,87,1,360,31.1
2014,3,25,33.1,23.7,81,1,110,39.4
2014,3,26,34.2,23.5,69,1,40,40.3
2014,3,27,31.5,22.3,75,1,110,36
2014,3,28,35.7,22.6,64,1,40,41.3
2014,3,29,34.7,24.4,67,1,180,41.2
2014,3,30,34.9,23.6,64,2,140,37.6
2014,3,31,35,22.8,57,2,140,38.2
2014,4,1,35,23.9,63,1,220,37.5
2014,4,2,34,24,71,1,70,39.4
2014,4,3,35.3,24.6,63,2,140,38.7
2014,4,4,35,23.5,65,1,180,41.9
2014,4,5,34.5,22.1,61,2,90,36
2014,4,6,33.1,21.3,75,1,340,35.7
2014,4,7,34.5,23.8,64,1,220,37.4
2014,4,8,32.6,23,75,1,160,34.5
2014,4,9,32.8,22.5,78,1,220,35.8
2014,4,10,34.8,23.3,68,1,360,38.6
