YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,28.5,19.7,75,1,360
2014,1,2,29.5,18.4,80,1,270
2014,1,3,28.2,19.7,80,1,40
2014,1,4,28,19,82,1,20
2014,1,5,29.2,20,77,1,20
2014,1,6,30.3,20.4,75,1,360
2014,1,7,29.3,18.8,79,1,320
2014,1,8,29.4,18.6,75,1,360
2014,1,9,29.6,19.2,71,2,360
2014,1,10,30.5,19.5,60,1,70
2014,1,11,31.2,20,63,2,90
2014,1,12,31,19,67,2,90
2014,1,13,28.4,18.9,72,2,40
2014,1,14,28.5,20.4,73,3,360
2014,1,15,27.5,18.8,69,2,40
2014,1,16,28,18,66,2,40
2014,1,17,30.5,19,59,2,40
2014,1,18,28,16.5,68,2,20
2014,1,19,27.5,18,63,2,90
2014,1,20,28.1,18.9,63,2,360
2014,1,21,27.1,18.4,68,2,360
2014,1,22,27.5,17.5,77,3,360
2014,1,23,29,16.7,64,2,40
2014,1,24,30.3,17.6,60,2,70
2014,1,25,28,18,74,1,360
2014,1,26,27.6,17.9,76,1,40
2014,1,27,29,18,66,2,40
2014,1,28,29.5,18.3,69,2,40
2014,1,29,27.9,18.9,68,1,90
2014,1,30,29.2,19.6,70,1,20
2014,1,31,30.5,19.5,57,1,90
2014,2,1,31,20.8,78,1,360
2014,2,2,30,23.4,85,2,220
2014,2,3,30.1,22.3,87,1,180
2014,2,4,30.5,21.6,82,1,40
2014,2,5,29.8,21.3,80,1,270
2014,2,6,29.5,20.5,80,1,290
2014,2,7,30.7,20.5,75,1,40
2014,2,8,28.5,20.2,82,1,360
2014,2,9,30.3,21.5,78,1,270
2014,2,10,29.8,18.9,80,2,360
2014,2,11,29.1,17.3,78,2,360
2014,2,12,29.7,18.1,77,1,360
2014,2,13,28.3,18.7,74,1,40
2014,2,14,27.5,18,78,2,90
2014,2,15,28.2,19,76,1,20
2014,2,16,28.7,19.6,75,1,40
2014,2,17,29,18.5,78,1,270
2014,2,18,29,19.6,81,1,40
2014,2,19,28.9,20.1,79,2,360
2014,2,20,27,19.6,79,3,360
2014,2,21,27.8,19.5,71,2,360
2014,2,22,28.5,19.8,70,1,270
2014,2,23,31.5,19.5,59,1,70
2014,2,24,29.8,19.5,68,1,90
2014,2,25,29.7,20.1,71,1,320
2014,2,26,28.7,20.5,82,1,270
2014,2,27,29,21.6,79,1,270
2014,2,28,29.8,21.2,78,1,290
2014,3,1,29.5,19.9,82,1,70
2014,3,2,29,19.1,78,1,360
2014,3,3,30.5,20.6,77,1,40
2014,3,4,28.8,20.8,80,1,40
2014,3,5,30,19.6,79,2,360
2014,3,6,30.5,20,74,1,360
2014,3,7,30.8,20.5,69,1,90
2014,3,8,29.5,20.5,79,1,270
2014,3,9,29.4,21.5,76,3,360
2014,3,10,30.9,21.2,71,2,360
2014,3,11,31.5,22.5,76,1,290
2014,3,12,30.9,22.5,79,1,40
2014,3,13,30.9,21.1,77,1,360
2014,3,14,32,21.7,73,1,360
2014,3,15,33.5,21.5,70,1,20
2014,3,16,32,21.1,80,1,360
2014,3,17,30.2,21.8,80,1,320
2014,3,18,30.1,21.6,77,1,270
2014,3,19,30.3,22.8,78,1,270
2014,3,20,30.5,21.8,79,1,360
2014,3,21,32.3,21.8,61,2,360
2014,3,22,34.5,22.8,57,2,90
2014,3,23,35,23.9,67,2,90
2014,3,24,33.4,24.1,66,1,270
2014,3,25,30.3,23.4,76,1,270
2014,3,26,32.1,23.2,74,1,270
2014,3,27,32.9,24.1,76,1,270
2014,3,28,31.5,23.8,76,2,270
2014,3,29,32,23.5,77,2,270
2014,3,30,33.5,24.1,77,1,90
2014,3,31,31.9,23.1,77,1,220
2014,4,1,31.8,23.3,77,1,360
2014,4,2,32.7,23,74,2,320
2014,4,3,31.2,22.5,75,2,360
2014,4,4,32.3,21.5,71,1,40
2014,4,5,31,23.3,77,2,270
2014,4,6,31.3,24.6,71,1,270
2014,4,7,31.9,24.5,77,1,270
2014,4,8,32,23.1,76,1,270
2014,4,9,31,22.8,80,1,360
2014,4,10,31.8,23.2,77,2,220
2014,4,11,32,23.8,74,2,270
2014,4,12,32.5,24.5,78,1,180
2014,4,13,32.7,23,74,2,360
2014,4,14,32.5,22.9,73,2,270
2014,4,15,33.4,23.6,73,2,90
2014,4,16,32.2,23.3,72,1,290
2014,4,17,32.3,22.8,74,1,90
2014,4,18,32.5,25.2,71,2,40
2014,4,19,32.5,23.7,71,2,290
2014,4,20,32.6,24.5,78,1,250
2014,4,21,32.2,24.5,74,2,270
2014,4,22,32.4,24.9,79,2,270
2014,4,23,32.8,24.6,79,1,270
2014,4,24,32.5,25.2,81,1,180
2014,4,25,32.5,25.5,79,1,270
2014,4,26,33,25.1,80,1,270
2014,4,27,32.8,24.2,79,2,270
2014,4,28,33.5,23.6,74,2,360
2014,4,29,32.7,24.7,73,1,260
2014,4,30,33.1,24.5,74,2,270
2014,5,1,32.9,24.5,78,1,270
2014,5,2,33,24.7,72,2,270
2014,5,3,33.5,25,75,1,270
2014,5,4,33,24.8,78,1,270
2014,5,5,34.7,24.9,74,1,360
2014,5,6,33.5,25.6,71,1,220
2014,5,7,32.9,24.9,77,1,270
2014,5,8,34.2,24.8,77,1,270
2014,5,9,33.8,25.2,66,2,270
2014,5,10,32.5,24.5,84,1,270
2014,5,11,34.3,25,69,2,270
2014,5,12,33.7,25.5,74,1,270
2014,5,13,33.2,26.5,75,1,270
2014,5,14,34,26.5,75,1,220
2014,5,15,34.1,25.7,73,1,220
2014,5,16,33.5,25,77,1,290
2014,5,17,34,26,77,2,270
2014,5,18,34.3,25.5,76,2,360
2014,5,19,34.4,25.2,70,2,270
2014,5,20,33.6,25.7,71,2,270
2014,5,21,35.5,26.1,68,1,320
2014,5,22,34.4,25,72,1,270
2014,5,23,34.5,24,73,2,270
2014,5,24,33.5,25,77,2,270
2014,5,25,33.5,24.4,75,1,70
2014,5,26,33.7,25,75,2,270
2014,5,27,33.9,24.6,73,1,270
2014,5,28,33.7,26,74,1,270
2014,5,29,34,24.7,71,2,270
2014,5,30,34.2,25.2,68,1,240
2014,5,31,34.3,26.4,71,2,360
2014,6,1,34.1,26.4,77,1,270
2014,6,2,34.1,26.3,75,1,270
2014,6,3,34.5,26.5,77,2,220
2014,6,4,34.6,25.6,76,1,270
2014,6,5,34.6,26.3,70,2,270
2014,6,6,35,26.5,68,2,270
2014,6,7,34,24.5,79,2,220
2014,6,8,32.3,22.5,83,2,180
2014,6,9,27.1,22.8,96,2,180
2014,6,10,27.2,23.4,93,1,180
2014,6,11,31.3,23.6,91,1,220
2014,6,12,29.4,24.1,92,1,180
2014,6,13,29.8,25,81,3,180
2014,6,14,32.8,25.9,81,3,180
2014,6,15,31.3,25.4,83,2,200
2014,6,16,33,25.7,79,2,220
2014,6,17,32.8,26.6,81,1,220
2014,6,18,32.7,24.3,86,1,220
2014,6,19,31.4,24,90,2,220
2014,6,20,32,24.3,82,2,180
2014,6,21,32.5,24.7,85,2,220
2014,6,22,32.5,24.6,85,2,220
2014,6,23,32.6,24.1,80,2,220
2014,6,24,32.8,25.8,81,2,220
2014,6,25,32.4,24.6,84,1,220
2014,6,26,32,24,89,1,220
2014,6,27,30.6,24.6,90,2,200
2014,6,28,32.5,24.6,82,2,220
2014,6,29,32.2,24.7,81,2,220
2014,6,30,32.3,24.2,80,2,220
2014,7,1,31.4,24.8,85,1,270
2014,7,2,32.1,24.6,87,1,270
2014,7,3,31.9,24.9,87,1,320
2014,7,4,30.5,24,92,2,180
2014,7,5,31.4,25.3,84,2,180
2014,7,6,32,24.2,87,2,220
2014,7,7,31.6,25.5,87,2,220
2014,7,8,32,25.4,83,2,180
2014,7,9,32.4,25.7,80,1,220
2014,7,10,32.4,25,81,1,220
2014,7,11,32.2,25.8,81,2,220
2014,7,12,32.5,24.7,84,2,320
2014,7,13,32.3,24.5,85,1,70
2014,7,14,33,25.6,85,1,360
2014,7,15,33,23.8,84,3,360
2014,7,16,32.9,25.3,75,1,40
2014,7,17,31.7,24.8,80,1,270
2014,7,18,33,25,99,2,220
2014,7,19,31,23.4,88,1,240
2014,7,20,31.5,24.1,86,2,40
2014,7,21,32,24.1,91,1,320
2014,7,22,28.4,24.2,92,2,180
2014,7,23,28.3,23.3,95,2,220
