YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2014,1,1,27.5,21.7,83,0,0
2014,1,2,30.5,17,82,1,180
2014,1,3,30.5,17.5,82,1,180
2014,1,4,29.5,18,81,1,180
2014,1,5,30,18.5,82,1,360
2014,1,6,25.9,19.7,84,1,360
2014,1,7,29.7,19.2,83,1,180
2014,1,8,29.8,18.3,84,1,270
2014,1,9,26.5,19.5,84,1,360
2014,1,10,25.5,19,83,1,360
2014,1,11,27,19,85,1,360
2014,1,12,24.3,17.8,88,1,360
2014,1,13,24,18.7,86,1,360
2014,1,14,26.9,19.3,86,1,360
2014,1,15,28.3,16.5,86,2,360
2014,1,16,22.7,17.5,86,1,360
2014,1,17,24.3,17.8,87,1,360
2014,1,18,25.2,16.5,86,1,360
2014,1,19,24.3,15.9,87,1,360
2014,1,20,24.9,17.8,87,0,0
2014,1,21,25.4,18.3,87,1,360
2014,1,22,23.6,17,88,1,360
2014,1,23,25,17,86,1,360
2014,1,24,25.5,14,86,1,180
2014,1,25,27.5,13.9,83,1,180
2014,1,26,27.9,15,81,1,270
2014,1,27,26.3,16.8,83,1,360
2014,1,28,24.1,18.9,86,0,0
2014,1,29,25.3,19.5,86,0,0
2014,1,30,26.2,14.5,85,0,0
2014,1,31,28,16.5,85,1,180
2014,2,1,28.7,18.5,85,1,180
2014,2,2,33,20.3,77,1,180
2014,2,3,33.5,23.1,76,1,360
2014,2,4,30.5,22.5,86,1,360
2014,2,5,27.8,20,85,0,0
2014,2,6,33,21.5,80,1,180
2014,2,7,33,22,77,1,360
2014,2,8,30,22.3,80,1,360
2014,2,9,34.2,22.1,77,1,180
2014,2,10,32.5,19.6,80,1,360
2014,2,11,29.3,18,85,1,360
2014,2,12,28.9,18,86,0,0
2014,2,13,31.5,18,79,1,180
2014,2,14,30,17.5,84,1,360
2014,2,15,29,17,83,1,180
2014,2,16,26.2,17.5,86,0,0
2014,2,17,30.5,18.1,83,1,360
2014,2,18,32.8,20.3,78,1,360
2014,2,19,31,18.5,80,1,360
2014,2,20,24.5,17,90,1,360
2014,2,21,24.5,17,81,1,360
2014,2,22,25,18.1,86,0,0
2014,2,23,27.3,18.9,85,0,0
2014,2,24,30,18.9,85,0,0
2014,2,25,30.5,19.5,84,1,40
2014,2,26,33.2,19.5,78,1,180
2014,2,27,29.3,20,84,1,180
2014,2,28,31,19,77,1,180
2014,3,1,33,18.6,76,1,180
2014,3,2,32.4,20,80,1,360
2014,3,3,31,20.6,80,1,360
2014,3,4,31.3,20.2,79,1,360
2014,3,5,31.7,18.5,80,1,360
2014,3,6,28.5,20,84,1,360
2014,3,7,30.5,20.5,80,1,360
2014,3,8,33.5,21,68,1,180
2014,3,9,31.3,20,80,1,360
2014,3,10,28.3,21.3,86,1,360
2014,3,11,29.1,22.4,84,1,270
2014,3,12,34.1,22,76,1,180
2014,3,13,34,22,76,1,360
2014,3,14,32,21.5,79,1,360
2014,3,15,30,21.5,82,1,360
2014,3,16,31,21.7,80,1,360
2014,3,17,33.9,19.8,76,1,180
2014,3,18,34.8,20.7,75,1,180
2014,3,19,35.4,21,75,1,180
2014,3,20,35,20.5,75,1,360
2014,3,21,30,20,82,2,360
2014,3,22,29,20.8,83,1,360
2014,3,23,28.5,21.3,86,1,180
2014,3,24,30.3,22.7,82,1,360
2014,3,25,26.1,22,85,1,180
2014,3,26,36.1,22,76,1,180
2014,3,27,34.5,23,72,1,180
2014,3,28,36.5,23,69,1,180
2014,3,29,36.5,23.5,71,1,180
2014,3,30,35.2,23,71,1,180
2014,3,31,37.9,23.7,68,1,180
2014,4,1,36,22.5,88,1,360
2014,4,2,36.8,22.5,72,1,360
2014,4,3,37.2,24,69,1,360
2014,4,4,33,23,75,1,360
2014,4,5,33.1,23.3,73,1,360
2014,4,6,31,22.5,81,1,360
2014,4,7,32,24,76,1,90
2014,4,8,34,22,78,1,320
2014,4,9,33.5,22,78,1,180
2014,4,10,34,22,74,1,180
2014,4,11,30.5,23,81,1,180
2014,4,12,33.2,23.6,76,1,180
2014,4,13,35,22.5,78,1,360
2014,4,14,35.2,21.2,75,1,360
2014,4,15,32.4,21.4,79,1,360
2014,4,16,32.5,23,78,1,360
2014,4,17,34.5,23.5,78,1,180
2014,4,18,36,23,74,1,180
2014,4,19,35.9,23,70,1,360
2014,4,20,37.2,24,74,1,180
2014,4,21,34.9,23.7,75,0,0
2014,4,22,37.5,23.7,72,1,180
2014,4,23,36.5,24,68,1,180
2014,4,24,36.5,24.5,72,1,360
2014,4,25,39,25,70,1,180
2014,4,26,37.5,24.5,70,1,180
2014,4,27,38.6,25.5,74,1,180
2014,4,28,36.5,24.7,74,1,360
2014,4,29,36.4,24.7,76,1,360
2014,4,30,36.2,24.8,77,1,140
2014,5,1,36.3,23,79,1,360
2014,5,2,35,24,78,0,0
2014,5,3,34.5,24,76,0,0
2014,5,4,35,24.5,72,1,180
2014,5,5,36.4,25,72,1,180
2014,5,6,36,24.9,74,0,0
2014,5,7,37.8,25,72,1,180
2014,5,8,37.5,25,71,1,360
2014,5,9,37.5,23.5,76,1,180
2014,5,10,34.5,24,77,1,180
2014,5,11,36.3,25,74,1,180
2014,5,12,37,25,71,1,180
2014,5,13,37.5,25,72,1,180
2014,5,14,38.5,25,70,1,180
